,Country,Start Year,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
301,Ireland,2023,60.0,0.0,60.0,100.0,0.0
302,Ireland,2024,0.0,0.0,0.0,0.0,0.0
303,Israel,2020,0.0,0.0,7.0,0.0,0.0
304,Israel,2021,0.0,0.0,45.0,0.0,0.0
305,Italy,2020,0.0,0.0,19.0,0.0,0.0
306,Italy,2021,0.0,0.0,86.0,0.0,0.0
307,Italy,2022,18010.0,0.0,18047.0,99.79497977503186,0.0
308,Italy,2023,12743.0,0.0,13018.0,97.88754032877554,0.0
309,Italy,2024,0.0,0.0,182.0,0.0,0.0
310,Jamaica,2024,0.0,0.0,5.0,0.0,0.0
311,Japan,2020,0.0,0.0,118.0,0.0,0.0
312,Japan,2021,0.0,0.0,86.0,0.0,0.0
313,Japan,2022,80.0,0.0,138.0,57.971014492753625,0.0
314,Japan,2023,0.0,0.0,25.0,0.0,0.0
315,Japan,2024,123.0,0.0,698.0,17.621776504297994,0.0
316,Jordan,2022,0.0,0.0,13.0,0.0,0.0
317,Jordan,2023,0.0,0.0,0.0,0.0,0.0
318,Kazakhstan,2020,0.0,0.0,0.0,0.0,0.0
319,Kazakhstan,2021,0.0,0.0,0.0,0.0,0.0
320,Kazakhstan,2023,0.0,0.0,14.0,0.0,0.0
321,Kazakhstan,2024,0.0,0.0,2.0,0.0,0.0
322,Kenya,2020,0.0,0.0,298.0,0.0,0.0
323,Kenya,2021,0.0,0.0,53.0,0.0,0.0
324,Kenya,2022,0.0,0.0,239.0,0.0,0.0
325,Kenya,2023,0.0,0.0,287.0,0.0,0.0
326,Kenya,2024,0.0,0.0,433.0,0.0,0.0
327,Kuwait,2024,0.0,0.0,50.0,0.0,0.0
328,Kyrgyzstan,2021,0.0,0.0,15.0,0.0,0.0
329,Kyrgyzstan,2022,0.0,0.0,0.0,0.0,0.0
330,Kyrgyzstan,2023,0.0,0.0,0.0,0.0,0.0
331,Kyrgyzstan,2024,0.0,0.0,6.0,0.0,0.0
332,Lao People's Democratic Republic,2020,0.0,0.0,2.0,0.0,0.0
333,Lao People's Democratic Republic,2021,0.0,0.0,0.0,0.0,0.0
334,Lao People's Democratic Republic,2022,0.0,0.0,1.0,0.0,0.0
335,Lao People's Democratic Republic,2023,0.0,0.0,7.0,0.0,0.0
336,Lao People's Democratic Republic,2024,0.0,0.0,25.0,0.0,0.0
337,Latvia,2022,105.0,0.0,105.0,100.0,0.0
338,Latvia,2023,58.0,0.0,58.0,100.0,0.0
339,Lebanon,2020,0.0,0.0,206.0,0.0,0.0
340,Lebanon,2021,0.0,0.0,32.0,0.0,0.0
341,Lebanon,2022,0.0,0.0,11.0,0.0,0.0
342,Lebanon,2023,0.0,0.0,0.0,0.0,0.0
343,Lebanon,2024,0.0,0.0,0.0,0.0,0.0
344,Lesotho,2020,0.0,0.0,0.0,0.0,0.0
345,Lesotho,2021,0.0,0.0,0.0,0.0,0.0
346,Lesotho,2023,0.0,0.0,2.0,0.0,0.0
347,Liberia,2020,0.0,0.0,50.0,0.0,0.0
348,Liberia,2021,0.0,0.0,16.0,0.0,0.0
349,Liberia,2022,0.0,0.0,71.0,0.0,0.0
350,Liberia,2023,0.0,0.0,40.0,0.0,0.0
351,Liberia,2024,0.0,0.0,2.0,0.0,0.0
352,Libya,2020,0.0,0.0,166.0,0.0,0.0
353,Libya,2021,0.0,0.0,163.0,0.0,0.0
354,Libya,2022,0.0,0.0,79.0,0.0,0.0
355,Libya,2023,0.0,0.0,13260.0,0.0,0.0
356,Libya,2024,0.0,0.0,5.0,0.0,0.0
357,Liechtenstein,2023,1.0,0.0,1.0,100.0,0.0
358,Lithuania,2022,381.0,0.0,381.0,100.0,0.0
359,Lithuania,2023,247.0,0.0,247.0,100.0,0.0
360,Luxembourg,2021,0.0,0.0,0.0,0.0,0.0
361,Luxembourg,2022,44.0,0.0,44.0,100.0,0.0
362,Luxembourg,2023,33.0,0.0,33.0,100.0,0.0
363,Madagascar,2020,0.0,0.0,44.0,0.0,0.0
364,Madagascar,2021,0.0,0.0,88.0,0.0,0.0
365,Madagascar,2022,0.0,0.0,224.0,0.0,0.0
366,Madagascar,2023,0.0,0.0,117.0,0.0,0.0
367,Madagascar,2024,0.0,0.0,70.0,0.0,0.0
368,Malawi,2020,0.0,0.0,1.0,0.0,0.0
369,Malawi,2021,0.0,0.0,13.0,0.0,0.0
370,Malawi,2022,0.0,0.0,1902.0,0.0,0.0
371,Malawi,2023,0.0,0.0,1233.0,0.0,0.0
372,Malawi,2024,0.0,0.0,40.0,0.0,0.0
373,Malaysia,2020,0.0,0.0,0.0,0.0,0.0
374,Malaysia,2021,0.0,0.0,117.0,0.0,0.0
375,Malaysia,2022,0.0,0.0,68.0,0.0,0.0
376,Malaysia,2023,0.0,0.0,116.0,0.0,0.0
377,Malaysia,2024,0.0,0.0,10.0,0.0,0.0
378,Maldives,2021,0.0,0.0,0.0,0.0,0.0
379,Maldives,2022,0.0,0.0,10.0,0.0,0.0
380,Maldives,2023,0.0,0.0,0.0,0.0,0.0
381,Mali,2020,0.0,0.0,22.0,0.0,0.0
382,Mali,2021,0.0,0.0,23.0,0.0,0.0
383,Mali,2022,0.0,0.0,10.0,0.0,0.0
384,Mali,2023,0.0,0.0,50.0,0.0,0.0
385,Mali,2024,0.0,0.0,154.0,0.0,0.0
386,Malta,2022,76.0,0.0,76.0,100.0,0.0
