,Country,Start Year,Start Month,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
250,Cameroon,2020,12.0,0.0,0.0,37.0,0.0,0.0
251,Cameroon,2021,1.0,0.0,0.0,53.0,0.0,0.0
252,Cameroon,2021,8.0,0.0,0.0,38.0,0.0,0.0
253,Cameroon,2022,1.0,0.0,0.0,16.0,0.0,0.0
254,Cameroon,2022,5.0,0.0,0.0,11.0,0.0,0.0
255,Cameroon,2022,6.0,0.0,0.0,2.0,0.0,0.0
256,Cameroon,2022,8.0,0.0,0.0,300.0,0.0,0.0
257,Cameroon,2022,11.0,0.0,0.0,14.0,0.0,0.0
258,Cameroon,2023,5.0,0.0,0.0,30.0,0.0,0.0
259,Cameroon,2023,7.0,0.0,0.0,42.0,0.0,0.0
260,Cameroon,2023,10.0,0.0,0.0,27.0,0.0,0.0
261,Cameroon,2024,8.0,0.0,0.0,38.0,0.0,0.0
262,Cameroon,2024,10.0,0.0,0.0,15.0,0.0,0.0
263,Cameroon,2024,11.0,0.0,0.0,12.0,0.0,0.0
264,Canada,2020,4.0,0.0,0.0,1.0,0.0,0.0
265,Canada,2020,6.0,0.0,0.0,0.0,0.0,0.0
266,Canada,2021,6.0,815.0,0.0,818.0,99.63325183374083,0.0
267,Canada,2021,11.0,0.0,0.0,4.0,0.0,0.0
268,Canada,2022,4.0,0.0,0.0,0.0,0.0,0.0
269,Canada,2022,5.0,0.0,0.0,12.0,0.0,0.0
270,Canada,2022,9.0,0.0,0.0,1.0,0.0,0.0
271,Canada,2022,12.0,0.0,0.0,4.0,0.0,0.0
272,Canada,2023,5.0,0.0,0.0,4.0,0.0,0.0
273,Canada,2023,6.0,0.0,0.0,19.0,0.0,0.0
274,Canada,2023,7.0,0.0,0.0,4.0,0.0,0.0
275,Canada,2024,5.0,0.0,0.0,0.0,0.0,0.0
276,Canada,2024,6.0,0.0,0.0,0.0,0.0,0.0
277,Canada,2024,7.0,0.0,0.0,2.0,0.0,0.0
278,Canada,2024,8.0,0.0,0.0,1.0,0.0,0.0
279,Canary Islands,2021,9.0,0.0,0.0,1.0,0.0,0.0
280,Canary Islands,2022,2.0,0.0,0.0,16.0,0.0,0.0
281,Canary Islands,2024,3.0,0.0,0.0,2.0,0.0,0.0
282,Canary Islands,2024,9.0,0.0,0.0,57.0,0.0,0.0
283,Central African Republic,2021,8.0,0.0,0.0,0.0,0.0,0.0
284,Central African Republic,2022,1.0,0.0,0.0,0.0,0.0,0.0
285,Central African Republic,2022,2.0,0.0,0.0,0.0,0.0,0.0
286,Central African Republic,2022,7.0,0.0,0.0,16.0,0.0,0.0
287,Central African Republic,2023,10.0,0.0,0.0,0.0,0.0,0.0
288,Central African Republic,2024,4.0,0.0,0.0,58.0,0.0,0.0
289,Central African Republic,2024,8.0,0.0,0.0,0.0,0.0,0.0
290,Chad,2020,4.0,0.0,0.0,0.0,0.0,0.0
291,Chad,2020,8.0,0.0,0.0,3.0,0.0,0.0
292,Chad,2021,6.0,0.0,0.0,32.0,0.0,0.0
293,Chad,2022,6.0,0.0,0.0,22.0,0.0,0.0
294,Chad,2023,1.0,0.0,0.0,20.0,0.0,0.0
295,Chad,2024,3.0,0.0,0.0,1.0,0.0,0.0
296,Chad,2024,8.0,0.0,0.0,576.0,0.0,0.0
297,Chile,2021,1.0,0.0,0.0,0.0,0.0,0.0
298,Chile,2021,6.0,0.0,0.0,0.0,0.0,0.0
299,Chile,2022,12.0,0.0,0.0,3.0,0.0,0.0
300,Chile,2023,2.0,0.0,0.0,26.0,0.0,0.0
301,Chile,2023,6.0,0.0,0.0,4.0,0.0,0.0
302,Chile,2023,8.0,0.0,0.0,3.0,0.0,0.0
303,Chile,2023,11.0,0.0,0.0,14.0,0.0,0.0
304,Chile,2023,12.0,0.0,0.0,0.0,0.0,0.0
305,Chile,2024,2.0,0.0,0.0,135.0,0.0,0.0
306,Chile,2024,3.0,0.0,0.0,0.0,0.0,0.0
307,Chile,2024,6.0,0.0,0.0,2.0,0.0,0.0
308,China,2020,3.0,0.0,0.0,49.0,0.0,0.0
309,China,2020,5.0,0.0,0.0,284.0,0.0,0.0
310,China,2020,6.0,0.0,0.0,48.0,0.0,0.0
311,China,2020,8.0,0.0,0.0,0.0,0.0,0.0
312,China,2020,9.0,0.0,0.0,16.0,0.0,0.0
313,China,2020,10.0,0.0,0.0,6.0,0.0,0.0
314,China,2020,11.0,0.0,0.0,13.0,0.0,0.0
315,China,2020,12.0,0.0,0.0,18.0,0.0,0.0
316,China,2021,1.0,0.0,0.0,0.0,0.0,0.0
317,China,2021,3.0,0.0,0.0,3.0,0.0,0.0
318,China,2021,4.0,0.0,0.0,43.0,0.0,0.0
319,China,2021,5.0,0.0,0.0,36.0,0.0,0.0
320,China,2021,6.0,0.0,0.0,395.0,0.0,0.0
321,China,2021,7.0,0.0,0.0,36.0,0.0,0.0
322,China,2021,8.0,0.0,0.0,40.0,0.0,0.0
323,China,2021,9.0,0.0,0.0,3.0,0.0,0.0
324,China,2021,10.0,0.0,0.0,23.0,0.0,0.0
325,China,2021,11.0,0.0,0.0,1.0,0.0,0.0
326,China,2021,12.0,0.0,0.0,0.0,0.0,0.0
327,China,2022,1.0,0.0,0.0,29.0,0.0,0.0
328,China,2022,4.0,0.0,0.0,46.0,0.0,0.0
329,China,2022,5.0,0.0,0.0,48.0,0.0,0.0
