,disaster_subtype,country,subregion,region,location,temperature,magnitude_scale,start_year,start_month,total_deaths,start_date,end_date,duration_days
33,Heat wave,Australia,Australia and New Zealand,Oceania,"Western Australia, Victoria provinces",52.0,°C,2014,1,139.0,2014-01-13,2014-01-18,5 days
34,Heat wave,Japan,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",39.0,°C,2014,7,27.0,2014-07-14,2014-07-29,15 days
35,Heat wave,India,Southern Asia,Asia,"Delhi, Andhra Pradesh, Orissa provinces",48.0,°C,2015,5,2248.0,2015-05-20,2015-05-31,11 days
36,Heat wave,Pakistan,Southern Asia,Asia,"Sindh, Punjab provinces",45.0,°C,2015,6,1229.0,2015-06-18,2015-06-24,6 days
37,Heat wave,Sudan,Northern Africa,Africa,Wadi Halfa district (Northern province),47.0,°C,2015,8,16.0,2015-08-13,2015-08-15,2 days
38,Heat wave,Belgium,Western Europe,Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",,°C,2015,6,410.0,2015-06-30,2015-07-05,5 days
39,Heat wave,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",40.0,°C,2015,6,3275.0,2015-06-29,2015-08-09,41 days
40,Heat wave,Japan,Eastern Asia,Asia,"Oosaka province, Tokyo, Saitama",,°C,2015,8,32.0,2015-08-03,2015-08-09,6 days
41,Heat wave,Japan,Eastern Asia,Asia,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata",,°C,2015,7,5.0,2015-07-12,2015-07-15,3 days
42,Heat wave,South Africa,Sub-Saharan Africa,Africa,Ngaka Modiri Molema (North West province),45.0,°C,2016,1,11.0,2016-01-01,2016-01-10,9 days
43,Heat wave,India,Southern Asia,Asia,"Andhra Pradesh, Rajasthan, Orissa, Bihar, Jharkhand, Tamil Nadu, Uttar Pradesh provinces",51.0,°C,2016,4,300.0,2016-04-01,2016-05-20,49 days
44,Heat wave,Japan,Eastern Asia,Asia,"Yamanashi, Kawanehoncho,Shizuoka",,°C,2016,8,3.0,2016-08-06,2016-08-08,2 days
45,Heat wave,India,Southern Asia,Asia,"Andhra Pradesh, Telangana, Maharashtra, Odisha (Orissa)",48.0,°C,2017,4,264.0,2017-04-12,2017-06-15,64 days
46,Heat wave,Pakistan,Southern Asia,Asia,Karachi,42.0,°C,2018,5,180.0,2018-05-18,2018-05-22,4 days
47,Heat wave,Canada,Northern America,Americas,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",37.2,°C,2018,6,70.0,2018-06-29,2018-07-05,6 days
48,Heat wave,Japan,Eastern Asia,Asia,Kumagaya (Saitama Prefecture),41.1,°C,2018,7,119.0,2018-07-01,2018-07-15,14 days
49,Heat wave,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,33.2,°C,2018,6,820.0,2018-06-30,2018-07-10,10 days
50,Heat wave,Belgium,Western Europe,Europe,,35.0,°C,2019,6,128.0,2019-06-21,2019-07-01,10 days
51,Heat wave,Germany,Western Europe,Europe,,38.6,°C,2019,6,4.0,2019-06-24,2019-06-30,6 days
52,Heat wave,Spain,Southern Europe,Europe,"Cordoba, Valladolid",,°C,2019,6,2.0,2019-06-26,2019-06-30,4 days
53,Heat wave,France,Western Europe,Europe,"Vaucluse, Bouches-du-Rhône, Hérault, Gard",46.0,°C,2019,6,567.0,2019-06-24,2019-07-07,13 days
54,Heat wave,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cornwall, Manchester",,°C,2019,6,5.0,2019-06-26,2019-06-30,4 days
55,Heat wave,Italy,Southern Europe,Europe,"Marche Region, Veneto Region, Milan",,°C,2019,6,3.0,2019-06-26,2019-06-30,4 days
56,Heat wave,Austria,Western Europe,Europe,,,°C,2019,7,1.0,2019-07-24,2019-07-26,2 days
57,Heat wave,Belgium,Western Europe,Europe,,40.6,°C,2019,7,400.0,2019-07-19,2019-07-27,8 days
58,Heat wave,France,Western Europe,Europe,Toute la France métropolitaine (excepté l'ouest de la Bretagne et la Corse),43.6,°C,2019,7,868.0,2019-07-21,2019-07-27,6 days
59,Heat wave,Netherlands (Kingdom of the),Western Europe,Europe,,40.4,°C,2019,7,400.0,2019-07-22,2019-07-27,5 days
60,Heat wave,Japan,Eastern Asia,Asia,,30.0,°C,2019,7,162.0,2019-07-29,2019-08-08,10 days
61,Heat wave,Japan,Eastern Asia,Asia,,,°C,2019,7,11.0,2019-07-22,2019-07-30,8 days
62,Heat wave,Belgium,Western Europe,Europe,,35.0,°C,2019,8,188.0,2019-08-23,2019-08-29,6 days
63,Heat wave,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,38.7,°C,2019,7,161.0,2019-07-21,2019-08-28,38 days
64,Heat wave,Belgium,Western Europe,Europe,,,°C,2020,8,1687.0,2020-08-05,2020-08-08,3 days
65,Heat wave,France,Western Europe,Europe,,,°C,2020,7,1924.0,2020-07-30,2020-08-16,17 days
66,Heat wave,Netherlands (Kingdom of the),Western Europe,Europe,,,°C,2020,8,400.0,2020-08-05,2020-08-16,11 days
67,Heat wave,United States of America,Northern America,Americas,"Oregon, Washington, Northern California, Idaho, Western Nevada",46.8,°C,2021,6,229.0,2021-06-26,2021-06-30,4 days
68,Heat wave,Japan,Eastern Asia,Asia,"Gunma, Tochigi, Yamanashi, Aichi, Tokyo",37.0,°C,2022,6,80.0,2022-06-20,2022-07-01,11 days
69,Heat wave,Albania,Southern Europe,Europe,,,°C,2022,5,352.0,2022-05-30,2022-09-04,97 days
70,Heat wave,Austria,Western Europe,Europe,,36.3,°C,2022,5,419.0,2022-05-30,2022-09-04,97 days
71,Heat wave,Belgium,Western Europe,Europe,,40.0,°C,2022,5,434.0,2022-05-30,2022-09-04,97 days
72,Heat wave,Bulgaria,Eastern Europe,Europe,,,°C,2022,5,1277.0,2022-05-30,2022-09-04,97 days
73,Heat wave,Switzerland,Western Europe,Europe,,38.3,°C,2022,5,302.0,2022-05-30,2022-09-04,97 days
74,Heat wave,Cyprus,Western Asia,Asia,,,°C,2022,5,101.0,2022-05-30,2022-09-30,123 days
75,Heat wave,Czechia,Eastern Europe,Europe,,,°C,2022,5,279.0,2022-05-30,2022-09-04,97 days
76,Heat wave,Germany,Western Europe,Europe,,40.3,°C,2022,5,8173.0,2022-05-30,2022-09-04,97 days
77,Heat wave,Denmark,Northern Europe,Europe,"Abed, Stokkemarke Parish, Lolland, Copenhagen, Vordingborg",35.9,°C,2022,5,252.0,2022-05-30,2022-09-04,97 days
78,Heat wave,Spain,Southern Europe,Europe,,43.2,°C,2022,5,11324.0,2022-05-30,2022-09-04,97 days
79,Heat wave,Estonia,Northern Europe,Europe,,,°C,2022,5,167.0,2022-05-30,2022-09-04,97 days
80,Heat wave,Finland,Northern Europe,Europe,,32.5,°C,2022,5,225.0,2022-05-30,2022-09-04,97 days
81,Heat wave,France,Western Europe,Europe,,42.0,°C,2022,5,4807.0,2022-05-30,2022-09-04,97 days
82,Heat wave,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,40.3,°C,2022,5,3469.0,2022-05-30,2022-09-04,97 days
83,Heat wave,Greece,Southern Europe,Europe,,42.1,°C,2022,5,3092.0,2022-05-30,2022-09-04,97 days
84,Heat wave,Croatia,Southern Europe,Europe,"Zagreb, Osijek, Karlovac, Slavonski Brod, Knin, Valopovo",40.0,°C,2022,5,731.0,2022-05-30,2022-09-04,97 days
85,Heat wave,Hungary,Eastern Europe,Europe,,41.9,°C,2022,5,513.0,2022-05-30,2022-09-04,97 days
86,Heat wave,Ireland,Northern Europe,Europe,,33.3,°C,2022,5,26.0,2022-05-30,2022-09-04,97 days
87,Heat wave,Italy,Southern Europe,Europe,,40.8,°C,2022,5,18010.0,2022-05-30,2022-09-04,97 days
88,Heat wave,Lithuania,Northern Europe,Europe,,,°C,2022,5,381.0,2022-05-30,2022-09-04,97 days
89,Heat wave,Luxembourg,Western Europe,Europe,,,°C,2022,5,44.0,2022-05-30,2022-09-04,97 days
90,Heat wave,Latvia,Northern Europe,Europe,,,°C,2022,5,105.0,2022-05-30,2022-09-04,97 days
91,Heat wave,Malta,Southern Europe,Europe,,,°C,2022,5,76.0,2022-05-30,2022-09-04,97 days
92,Heat wave,Montenegro,Southern Europe,Europe,,,°C,2022,5,50.0,2022-05-30,2022-09-04,97 days
93,Heat wave,Netherlands (Kingdom of the),Western Europe,Europe,,39.5,°C,2022,5,469.0,2022-05-30,2022-09-04,97 days
94,Heat wave,Norway,Northern Europe,Europe,,34.0,°C,2022,5,30.0,2022-05-30,2022-09-30,123 days
95,Heat wave,Poland,Eastern Europe,Europe,,38.3,°C,2022,5,763.0,2022-05-30,2022-09-04,97 days
96,Heat wave,Portugal,Southern Europe,Europe,,47.0,°C,2022,5,2212.0,2022-05-30,2022-09-04,97 days
97,Heat wave,Romania,Eastern Europe,Europe,,39.3,°C,2022,5,2455.0,2022-05-30,2022-09-04,97 days
98,Heat wave,Serbia,Southern Europe,Europe,,40.0,°C,2022,5,574.0,2022-05-30,2022-09-04,97 days
99,Heat wave,Slovakia,Eastern Europe,Europe,,37.0,°C,2022,5,365.0,2022-05-30,2022-09-04,97 days
100,Heat wave,Slovenia,Southern Europe,Europe,,40.6,°C,2022,5,154.0,2022-05-30,2022-09-04,97 days
101,Heat wave,Sweden,Northern Europe,Europe,,36.9,°C,2022,5,40.0,2022-05-30,2022-09-30,123 days
102,Heat wave,Bangladesh,Southern Asia,Asia,"Shyampur, Bangshal, Kotwali (Dhaka), Sutrapur, Kamrangir Char, Chak Bazar, Lalbagh, Gendaria, Paltan, Barisal, Dhaka, Khulna, Rajshahi, Rangpur; Magura district",38.0,°C,2024,4,10.0,2024-04-21,2024-05-07,16 days
103,Heat wave,Myanmar,South-eastern Asia,Asia,,47.0,°C,2024,4,50.0,2024-04-01,2024-05-03,32 days
104,Heat wave,Mexico,Latin America and the Caribbean,Americas,,45.0,°C,2024,3,155.0,2024-03-01,2024-05-31,91 days
105,Heat wave,Saudi Arabia,Western Asia,Asia,,51.8,°C,2024,6,1301.0,2024-06-01,2024-06-20,19 days
106,Heat wave,Pakistan,Southern Asia,Asia,"Karachi, Sindh province",50.0,°C,2024,6,568.0,2024-06-20,2024-06-25,5 days
107,Heat wave,Morocco,Northern Africa,Africa,,48.0,°C,2024,7,21.0,2024-07-22,2024-07-24,2 days
108,Heat wave,United States of America,Northern America,Americas,Arizona,40.0,°C,2024,4,1006.0,2024-04-18,2024-10-31,196 days
109,Heat wave,Japan,Eastern Asia,Asia,"Shizuoka, Osaka, Nara, Tochigi, Fukuoka, Hokkaido Prefectures",41.0,°C,2024,4,123.0,2024-04-01,2024-09-30,182 days
110,Heat wave,Republic of Korea,Eastern Asia,Asia,,35.0,°C,2024,5,22.0,2024-05-20,2024-09-30,133 days
